name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Reclaimed Doom Mine Layer,LTA_reclaimedminelayer,0,,200000,2500,,3000,,25,30,12,30,0.2,1,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,300,100,40,1000,SYSTEM,,,,,,,,,,,,,,,666
Hammer-class Torpedo (Internal Stockpiles),LTA_hammer_repeating,0,,7500,1200,,1500,,30,10,8,3,,,HIGH_EXPLOSIVE,0,,0,45,1,,0,0,0,0,,500,40,4,350,"SYSTEM, STRIKE","strike5, rocket1",,,,Torpedo,Fast,None,,,,,,,TRUE,9.9
Annihilator Tube,LTA_annihilator_fighter_r,0,,7500,1500,,200,,5,30,6,12,0.2,3,HIGH_EXPLOSIVE,0,,0,10,3,0.075,20,45,10,1,,400,150,3.75,50,SYSTEM,"rocket13, strike8",,,,Pressure,Fast,None,,,,,,,TRUE,666
Annihilator Tube,LTA_annihilator_fighter_rmech,0,,7500,1500,,200,,5,30,6,24,0.2,6,HIGH_EXPLOSIVE,0,,0,2.5,1,0.075,0,10,2,0.5,,800,600,3.75,50,SYSTEM,"rocket13, strike8",,,,Pressure,Fast,None,,,,,,,TRUE,666
Annihilator Tube,LTA_annihilator_tube_builtin,0,,7500,1500,,200,,5,30,8,24,0.333333333,6,HIGH_EXPLOSIVE,0,,0,2,2,0.5,0,10,2,0.5,,800,600,3.75,50,SYSTEM,"rocket19, strike8",,,,Pressure,Fast,None,,,,,,,TRUE,666
Annihilator (Repeater),LTA_annihilator_builtin_slow,0,,7500,1500,,200,,5,30,8,12,0.333333333,6,HIGH_EXPLOSIVE,0,,0.25,4.75,1,,10,15,2,0.5,,400,600,3.75,50,"SYSTEM, USE_VS_FRIGATES","rocket19, strike8",,,,Pressure,Fast,None,,,,,,,,666
Fragmentation Swarmer SRM Launcher,LTA_swarmer_mech_fragmentation,1,,250,1000,,175,,5,50,4,2,0.3,2,FRAGMENTATION,0,,0,5,2,0.2,30,30,0,0,,450,400,3,50,"ANTI_FTR, DO_NOT_AIM, SYSTEM, DO_NOT_CONSERVE","utility8, missile0",,,,Anti Small Craft,Fast,Excellent,,,,,,,,666
Thermite Seeker Flare Launcher,LTA_thermiteseeker,,,,750,,250,400,20,,,,0,,ENERGY,0,0,0,0.1,1,0.1,90,90,0,0,,400,200,10,200,"SYSTEM, ANTI_FTR, USE_VS_FRIGATES, DO_NOT_CONSERVE",,,,,,,,,,,,,,,666
Annihilator Seeker Rocket Pod,LTA_annihilatorbuiltinmitigator,0,,1200,1200,,200,,5,30,10,100,,,HIGH_EXPLOSIVE,0,,0,2,6,0.25,0,0,0,0,,400,50,4,50,"SYSTEM, DO_NOT_AIM, USE_VS_FRIGATES","rocket13, strike8",,,,Anti Frigate,Fast,Average,,,,,,,,666
Light Autocannon,LTA_lightacdrone,0,,125,300,,50,,3,20,4,,,,KINETIC,50,,0,0.5,1,,0,8,2,15,,800,,,20,SYSTEM,kinetic6,,,,Anti Shield,,,,,,,,,,666
